iter	Passed	Remaining
298	490	1149
299	491	1146
300	492	1144
301	493	1141
302	495	1139
303	496	1136
304	497	1133
305	498	1130
306	499	1128
307	501	1125
308	502	1123
309	503	1120
310	504	1117
311	505	1114
312	506	1111
313	507	1109
314	509	1107
315	510	1104
316	511	1102
317	512	1100
318	514	1097
319	515	1094
320	516	1092
321	517	1089
322	518	1087
323	519	1084
324	521	1082
325	522	1080
326	523	1077
327	525	1076
328	526	1073
329	527	1071
330	528	1069
331	530	1066
332	531	1064
333	532	1062
334	533	1059
335	534	1056
336	535	1054
337	537	1052
338	538	1050
339	539	1047
340	540	1045
341	541	1042
342	543	1040
343	544	1038
344	545	1036
345	547	1033
346	548	1031
347	549	1029
348	550	1026
349	551	1024
350	553	1022
351	554	1020
352	555	1018
353	556	1015
354	557	1013
355	558	1010
356	559	1008
357	561	1006
358	562	1004
359	563	1001
360	564	999
361	565	997
362	567	995
363	568	993
364	569	991
365	570	988
366	572	986
367	573	984
368	574	982
369	575	980
370	577	978
371	578	976
372	579	973
373	580	972
374	581	969
375	583	968
376	584	965
377	585	963
378	586	961
379	587	959
380	588	956
381	590	954
382	591	952
383	592	950
384	593	948
385	595	946
386	596	944
387	597	942
388	598	940
389	600	938
390	601	936
391	602	934
392	603	932
393	604	929
394	605	928
395	607	925
396	608	923
397	609	921
398	610	919
399	611	917
400	612	915
401	614	913
402	615	911
403	616	909
404	617	907
405	618	905
406	619	903
407	620	901
408	622	898
409	623	896
410	624	894
411	625	892
412	626	890
413	627	888
414	629	886
415	630	884
416	631	883
417	632	881
418	633	879
419	634	876
420	636	874
421	637	873
422	638	871
423	639	869
424	640	867
425	641	864
426	642	862
427	644	860
428	645	859
429	646	857
430	647	855
431	649	853
432	650	851
433	651	849
434	652	847
435	653	845
436	655	844
437	656	842
438	657	840
439	658	838
440	659	836
441	660	834
442	662	832
443	663	830
444	664	828
445	665	826
446	666	824
447	668	823
448	669	821
449	670	819
450	671	817
451	672	815
452	673	813
453	675	811
454	676	809
455	677	808
456	678	806
457	680	804
458	681	803
459	682	801
460	684	799
461	685	798
462	686	796
463	687	794
464	688	792
465	690	790
466	691	788
467	692	787
468	693	785
469	694	783
470	695	781
