iter	Passed	Remaining
630	1003	586
631	1004	585
632	1006	583
633	1008	582
634	1009	580
635	1011	578
636	1013	577
637	1014	575
638	1016	574
639	1018	572
640	1021	572
641	1025	571
642	1027	570
643	1029	569
644	1031	567
645	1032	565
646	1034	564
647	1035	562
648	1037	560
649	1038	559
650	1041	558
651	1042	556
652	1044	555
653	1046	553
654	1047	551
655	1049	550
656	1050	548
657	1052	547
658	1053	545
659	1055	543
660	1056	542
661	1058	540
662	1060	539
663	1062	537
664	1064	536
665	1066	534
666	1067	533
667	1069	531
668	1070	529
669	1071	527
670	1073	526
671	1074	524
672	1075	522
673	1077	521
674	1078	519
675	1079	517
676	1081	515
677	1083	514
678	1084	512
679	1086	511
680	1087	509
681	1088	507
682	1089	505
683	1091	504
684	1092	502
685	1093	500
686	1095	498
687	1096	497
688	1098	495
689	1099	494
690	1101	492
691	1102	490
692	1104	489
693	1106	487
694	1107	485
695	1108	484
696	1110	482
697	1111	480
698	1112	479
699	1114	477
700	1115	475
701	1116	474
702	1118	472
703	1119	470
704	1121	469
705	1121	467
706	1123	465
707	1124	463
708	1126	462
709	1127	460
710	1129	459
711	1130	457
712	1132	455
713	1133	454
714	1135	452
715	1136	450
716	1138	449
717	1139	447
718	1140	445
719	1142	444
720	1143	442
721	1145	440
722	1146	439
723	1147	437
724	1149	435
725	1150	434
726	1151	432
727	1153	430
728	1154	429
729	1156	427
730	1157	425
731	1159	424
732	1160	422
733	1161	420
734	1163	419
735	1164	417
736	1166	416
737	1167	414
738	1168	412
739	1170	411
740	1171	409
741	1172	407
742	1174	406
743	1175	404
744	1177	402
745	1178	401
746	1179	399
747	1181	398
748	1182	396
749	1184	394
750	1185	393
751	1187	391
752	1188	389
753	1190	388
754	1191	386
755	1192	384
756	1193	383
757	1195	381
758	1196	379
759	1197	378
760	1199	376
761	1200	374
762	1201	373
763	1203	371
764	1204	370
765	1206	368
766	1207	366
767	1209	365
768	1210	363
769	1211	361
770	1213	360
771	1214	358
772	1215	357
773	1217	355
774	1219	353
775	1220	352
776	1221	350
777	1222	348
778	1224	347
779	1225	345
780	1226	344
781	1228	342
782	1229	340
783	1231	339
784	1232	337
785	1234	335
786	1235	334
787	1236	332
788	1238	331
789	1239	329
790	1240	327
791	1242	326
792	1243	324
793	1244	322
794	1246	321
795	1247	319
796	1249	318
797	1251	316
798	1252	315
799	1254	313
800	1256	312
801	1257	310
802	1259	308
803	1260	307
804	1261	305
805	1263	304
806	1264	302
807	1265	300
808	1267	299
809	1268	297
810	1270	296
811	1271	294
812	1273	292
813	1274	291
814	1276	289
815	1277	288
816	1279	286
817	1280	284
818	1281	283
819	1283	281
820	1284	280
821	1285	278
822	1287	276
823	1292	276
824	1293	274
825	1295	272
826	1296	271
827	1297	269
828	1299	267
829	1300	266
830	1302	264
831	1303	263
832	1304	261
833	1306	259
834	1307	258
835	1309	256
836	1310	255
837	1311	253
838	1313	251
839	1314	250
840	1315	248
841	1317	247
842	1318	245
843	1320	244
844	1322	242
845	1323	240
846	1324	239
847	1326	237
848	1327	236
849	1329	234
850	1330	232
851	1331	231
852	1333	229
853	1334	228
854	1335	226
855	1336	224
856	1338	223
857	1339	221
858	1341	220
859	1342	218
860	1343	216
861	1345	215
862	1346	213
863	1347	212
864	1349	210
865	1350	209
866	1352	207
867	1354	205
868	1355	204
869	1356	202
870	1358	201
871	1359	199
872	1360	197
873	1362	196
874	1363	194
875	1364	193
876	1366	191
877	1367	189
878	1368	188
879	1369	186
880	1371	185
881	1372	183
882	1374	182
883	1375	180
884	1376	178
885	1378	177
886	1379	175
887	1380	174
888	1382	172
889	1383	170
890	1384	169
891	1385	167
892	1387	166
893	1388	164
894	1390	163
895	1392	161
896	1393	160
897	1395	158
898	1396	156
899	1398	155
900	1399	153
901	1400	152
902	1402	150
903	1403	149
904	1405	147
905	1406	145
906	1407	144
907	1409	142
908	1410	141
909	1412	139
910	1413	138
911	1415	136
912	1417	135
913	1419	133
914	1421	132
915	1422	130
916	1423	128
917	1425	127
918	1427	125
919	1429	124
920	1430	122
921	1432	121
922	1433	119
923	1434	118
924	1436	116
925	1437	114
926	1439	113
927	1440	111
928	1442	110
929	1444	108
930	1445	107
931	1447	105
932	1449	104
933	1450	102
934	1452	100
935	1453	99
936	1454	97
937	1456	96
938	1457	94
939	1458	93
940	1460	91
941	1461	89
942	1462	88
943	1464	86
944	1465	85
945	1466	83
946	1468	82
947	1470	80
948	1471	79
949	1472	77
950	1474	75
951	1475	74
952	1477	72
953	1478	71
954	1479	69
955	1481	68
956	1482	66
957	1483	65
958	1485	63
959	1486	61
960	1488	60
961	1489	58
962	1490	57
963	1491	55
964	1493	54
965	1494	52
966	1495	51
967	1497	49
968	1498	47
969	1499	46
970	1501	44
971	1502	43
972	1503	41
973	1504	40
974	1505	38
975	1506	37
976	1507	35
977	1509	33
978	1510	32
979	1511	30
980	1512	29
981	1513	27
982	1514	26
983	1515	24
984	1517	23
985	1518	21
986	1519	20
987	1520	18
988	1521	16
989	1522	15
990	1523	13
991	1524	12
992	1529	10
993	1530	9
994	1532	7
995	1534	6
996	1535	4
997	1537	3
998	1539	1
999	1540	0
